Palabra,Descripción,Categoría,Sinónimos,Antónimos
ENERO,"Primer mes del año, tiene treinta y un días.",sust. m.,Enero.,
ENFERMEDAD,Alteración más o menos grave de la salud.,sust. f.,"Enfermedad, padecimiento, malestar, dolencia.",
ENFERMERO/A,"Persona que trabaja en la asistencia a los enfermos, generalmente en hospitales.",sust. m. y f.,"Enfermero, auxiliar, practicante.",
ENFERMO/A,Que padece enfermedad.,adj.,"Enfermo, doliente, aquejado, afectado.",Sano.
ENFRIAR,Verbo pleno Hacer que se ponga fría una cosa.,v. tr.,"Enfriar, congelar, helar.","Calentar, entibiar."
ENGORDAR,Verbo pleno Ponerse gordo o gorda.,v. intr.,"Engordar, robustecer, engrosar.",Adelgazar.
ENOJADO/A,Persona que siente molestia por algo o alguien.,adj.,"Enojado, molesto, irritado, enfadado.","Contento, alegre, agradado."
ENSALADA,"Hortalizas mezcladas, cortadas en trozos y aderezadas con sal, aceite, vinagre o limón.",sust. f.,Ensalada.,
ENSEÑANZA-BÁSICA,"En Chile, se denomina al período de los ocho primeros años de escolaridad obligatoria.",sust. p.,"Enseñanza Básica, Enseñanza General Básica.",
ENSEÑANZA-MEDIA,"En Chile, se denomina al período de cuatro años de escolarización obligatoria que siguen a la Enseñanza Básica.",sust. p.,"Enseñanza Media, Enseñanza Secundaria.",
ENSEÑAR,"Verbo de concordancia Instruir a través de métodos que permiten a otros adquirir ciertos conocimientos, principios o ideas.",v. tr.,"Enseñar, instruir, educar.",
ENTENDER,Verbo pleno Tener una idea clara de las cosas.,v. tr.,"Entender, comprender.",
ENTIERRO,"Poner bajo tierra los cadáveres. 2//Rito en el que se acompaña a los deudos, en el cementerio, mientras se entierra el cadáver.",sust. m.,"Entierro, inhumación.",
ENTRAR,Verbo pleno Pasar de fuera hacia adentro.,v. intr.,"Entrar, ingresar, pasar.","Salir, retirar, irse."
ENTRETENIDO/A,De genio y humor festivo y alegre.,adj.,"Entretenido, divertido, gracioso, chistoso.",Aburrido.
ENTREVISTA,"Mantener una conversación con una o varias personas, acerca de ciertos temas para informar al público de sus respuestas o para un fin determinado.",sust. f.,"Entrevista, conversación, diálogo.",
ENVIDIA,Tristeza o pesar del bien ajeno. // 2. Deseo de algo que no se posee.,sust. f.,"Envidia, codicia, ambición.",
ENVOLVER,"Verbo espacial locativo Cubrir un objeto parcial o totalmente, con tela, papel u otra cosa.",v. tr.,"Envolver, empaquetar, enfundar.",
EQUILIBRIO,"Situación de un cuerpo que, a pesar de tener poca sustentación, se mantiene sin caerse.",sust. m.,Equilibrio.,Desequilibrio.
EQUIVOCADO/A,Que actúa u obra errada o desacertadamente.,adj.,"Equivocado, confundido, errado.","Acertado, atinado."
ERIZO-DE-MAR,"Animal marino, cubierto de espinas articuladas, de color oscuro, cuyo interior es comestible.",sust. m.,Erizo.,
ERROR,Concepto equivocado o juicio falso.,sust. m.,"Error, equivocación, falta.",Acierto.
ESCALERA,"Serie de escalones que sirven para subir o bajar los pisos de una casa, un edificio u otro lugar.",sust. f.,"Escalera, escala.",
ESCÁNDALO,Acción en la que se produce mucho alboroto y ruidos molestos.,sust. m.,"Escándalo, bullicio, alboroto.",
ESCAPAR,"Verbo pleno Salir de un encierro sin autorización, o de un peligro.",v. intr.,"Escapar, huir, escabullirse, fugarse.",
ESCARABAJO,"Insecto coleóptero, de cuerpo ovalado, con antenas, alas lisas y patas anteriores desprovistas de tarsos.",sust. m.,"Escarabajo, bicho.",
ESCENARIO,Parte del teatro construida para que se puedan colocar los decorados y representar obras dramáticas o espectáculos teatrales.,sust. m.,"Escenario, tablas.",
ESCOBA,"Manojo de ramas flexibles, juntas y atadas al extremo de un palo, que sirven para barrer y limpiar.",sust. f.,Escoba.,
ESCOBILLA-DE-ROPA,Cepillo de cerdas que se usa para limpiar la ropa.,sust. f.,"Escobilla de ropa, cepillo.",
ESCONDER,Verbo pleno Poner algo en un lugar o sitio secreto.,v. tr.,"Esconder, ocultar, encubrir.","Mostrar, indicar, señalar."
ESCORPIÓN,Arácnido cuyo abdomen se prolonga en una cola formada por seis segmentos y terminada en un aguijón curvo y venenoso que el animal clava en el cuerpo de sus presas. //2. Signo del zodíaco.,sust. m.,"Escorpión, alacrán.",
ESCRIBIR,Verbo espacial locativo Representar las palabras o las ideas con letras u otros signos trazados en papel u otra superficie.,v. tr.,"Escribir, anotar, redactar.",
ESCUCHAR,Verbo pleno Prestar atención a lo que se oye.,v. tr.,"Escuchar, oír, atender.",
ESCRITOR/A,Persona que escribe. 2// Autor de obras escritas o impresas.,sust. m. y f.,"Escritor, autor.",
ESCUDO,"Símbolo que muestra los colores, animales y lema que identifican un país.",sust. m.,"Escudo, insignia.",
ESCUELA,"Establecimiento donde se da a los niños, jóvenes o adultos, instrucción en la enseñanza primaria.",sust. f.,"Escuela, colegio, establecimiento educacional.",
ESFUERZO,Empleo enérgico de la fuerza física para vencer dificultades.,sust. m.,"Esfuerzo, energía, arrojo, vigor.",
ESGRIMA,"Deporte que se practica entre dos contrincantes, usando florete, espada, o sable.",sust. f.,Esgrima,
ESMERALDA,Piedra fina de color verde. Se usa en joyas.,sust. f.,"Esmeralda, gema.",
ESPALDA,"Parte posterior del cuerpo humano, desde los hombros hasta la cintura.",sust. f.,"Espalda, dorso.",
ESPAÑA,"País ubicado en Europa, limita al norte con el Océano Glacial Ártico, al sur con el Mar Mediterráneo, al este con Francia y al oeste con Portugal. Su capital es Madrid.",sust. p.,España.,
ESPAÑOL/A,Natural de España. //2 Perteneciente o relativo a esta nación.,adj.,"Español, española.",
ESPÁRRAGO,Yema o tallo comestible que produce la raíz de una planta llamada esparraguera.,sust. m.,Espárrago,
ESPECIAL,Que se diferencia de lo común o general.,adj.,"Especial, singular, particular.",Común.
ESPEJO,"Trozo de cristal cubierto con un material especial, por la parte posterior, para que se reflejen en él las personas u objetos que tenga por delante.",sust. m.,Espejo.,
ESPERANZA,Confianza de lograr algo.,sust. f.,"Esperanza, ilusión, creencia, confianza.","Temor, congoja."
ESPERAR,Verbo pleno Permanecer por un tiempo hasta que algo suceda.,v. tr.,"Esperar, hacer tiempo.",
ESPÍA,"Persona que, con disimulo y secreto, observa o escucha lo que pasa, para comunicarlo al que tiene interés en saberlo.",sust. m. y f.,"Espía, agente, soplón, delator.",
ESPIAR,Verbo pleno Observar disimuladamente lo que se dice o se hace.,v. tr.,"Espiar, curiosear, entrometerse, escudriñar.",
ESPINA,Púa que nace del tejido leñoso de algunas plantas.,sust. f.,"Espina, púa, astilla.",
ESPÍRITU,Ser inmaterial y dotado de razón.,sust. m.,"Espíritu, alma.",
ESPONJA,Cuerpo que por su elasticidad y suavidad sirve como utensilio de limpieza.,sust. f.,Esponja.,
ESPOSO/A,Persona unida con otra por lazos del matrimonio.,sust. m.,"y f. Esposo, cónyuge, compañero, marido, pareja.","Soltero, divorciado."
ESPUMA,Conjunto de burbujas que se forman en la superficie de los líquidos y se adhieren entre sí.,sust. f.,"Espuma, efervescencia, pompas, burbujas.",
ESQUELETO,"Conjunto de huesos y piezas duras y resistentes, articuladas entre sí, que da consistencia al cuerpo de los animales, sosteniendo sus partes blandas.",sust. m.,"Esqueleto, osamenta.",
ESQUIAR,Verbo pleno Practicar un deporte que consiste en deslizarse con esquíes por una superficie nevada.,v. intr.,Esquiar.,
ESQUINA,"Parte exterior del lugar en que convergen dos lados de una cosa, especialmente las paredes de un edificio o dos calles.",sust. f.,Esquina.,
ESTACIÓN-DEL-AÑO,"Cada una de las cuatro partes en que se divide el año, invierno, primavera, verano y otoño.",sust. f.,"Estación del año, época.",
ESTACIÓN-DEL-METRO,Sitio donde hace parada el metro.,sust. f.,"Estación, terminal.",
ESTADIO,"Recinto con graderías para los espectadores, destinado a competencias deportivas.",sust. m.,"Estadio, recinto, coliseo.",
ESTADOS-UNIDOS,"País del continente Norteamericano, organizado en diferentes estados. Su capital es Washington D.C.",sust. p.,Estados Unidos.,
ESTAMPILLA,Sello que garantiza el pago del envío de una carta.,sust. f.,"Estampilla, sello.",
ESTATUA,Escultura labrada a imitación de algo natural.,sust. f.,"Estatua, escultura, busto.",
ESTRELLA,"Cuerpo celeste que radia energía electromagnética (luminosa, calorífica, etc.), que brilla en la noche, excepto la luna.",sust. f.,"Estrella, lucero, sol, astro.",
ESTRUCTURA,Distribución y orden de las partes que componen a un todo.,sust. f.,"Estructura, distribución, organización, ordenación.",
ESTRUCTURA-ARQUITECTÓNICA,Distribución y orden de las partes importantes de un edificio.,sust. f.,Estructura.,
ESTRUCTURA-GRAMATICAL,Distribución y orden de las partes de la frase o la oración.,sust. f.,"Estructura gramatical, sintaxis.",
ESTUCHE,"Bolsa o cartera pequeña, con cierre para guardar útiles escolares, cosméticos u otros.",sust. m.,Estuche.,
ESTUDIAR,Verbo pleno Ejercitar el entendimiento para aprender o comprender una cosa.,v. tr.,"Estudiar, aprender, instruirse, cultivarse.",
ESTUFA,Artefacto que produce calor y se coloca en las habitaciones para calentarlas.,sust. f.,"Estufa, calefactor.",
ETCÉTERA,Expresión de origen latino que se usa para expresar lo que falta en el discurso.,loc.,"Etcétera, etc.",
ETERNO/A,Que no tiene principio ni fin.,adj.,"Eterno, imperecedero, perenne.","Finito, limitado."
ÉTICA,Parte de la filosofía que trata de la moral y las obligaciones del hombre.,sust. f.,"Ética, moral.",
EUROPA,"Uno de los cinco continentes de la Tierra, el más pequeño, pero más poblado en relación a su extensión.",sust. p.,Europa.,
EVALUACIÓN,"La estimación de los conocimientos, aptitudes y rendimiento de los estudiantes.",sust. f.,"Evaluación, valoración, calificación, nota.",
EVANGÉLICO/A,Persona perteneciente a una religión protestante.,adj.,Evangélico.,
EVANGELIO,"Historia de la vida, doctrina y milagros de Jesucristo, narrada y repetida por los cuatro evangelistas en la Biblia.",sust. m.,"Evangelio, Nuevo Testamento.",
EXCAVADORA,Máquina para hacer hoyos y zanjas en un terreno.,sust. f.,Excavadora.,
EXCURSIÓN,"Salida a algún lugar para estudio, paseo, recreo o ejercicio físico.",sust. f.,"Excursión, viaje, caminata, paseo.","Descanso, reposo."
EXIGENTE,Persona que pide una cosa o algo con alto nivel de requisitos.,adj.,"Exigente, estricto, implacable.",
EXISTIR,"Verbo pleno Tener vida, ser real o verdadero.",v. intr.,"Existir, vivir.",
EXPERIMENTO,Acción que se hace para probar y examinar en forma práctica una cosa.,sust. m.,"Experimento, tentativa, ensayo.",
EXPERTO/A,Persona que tiene especial conocimiento de una materia.,adj.,"Experto, hábil, experimentado.",
EXPLICAR,"Verbo pleno Declarar o exponer cualquier materia difícil, con palabras muy claras para hacerla más comprensible.",v. tr.,"Explicar, definir, aclarar.",
EXQUISITO/A,De sabor muy agradable.,adj.,"Exquisito, rico, sabroso.",
EXTRANJERO/A,Persona o cosa que es o viene de otra nación.,adj.,"Extranjero, foráneo.",
FÁBRICA,"Establecimiento dotado de maquinaria, herramientas e instalaciones necesarias para la fabricación de ciertos objetos o productos.",sust. f.,"Fábrica, industria, factoría.",
FÁBULA,"Composición literaria en la que se narran sucesos ficticios, con la personificación de animales, cuya finalidad es enseñar o deleitar.",sust. f.,Fábula.,
FÁCIL,Que se puede hacer sin gran esfuerzo.,adj.,"Fácil, simple, sencillo.","Difícil, complicado, dificultoso."
FACULTAD,"Cada una de las divisiones de una universidad, correspondiente a una rama del saber y en la que se dan carreras de formación.",sust. f.,Facultad.,
FALDA,"Prenda de vestir o parte del vestido de mujer, que cae desde la cintura hacia abajo.",sust. f.,"Falda, pollera.",
FALLECER,Verbo pleno Acabar la vida.,v. intr.,"Fallecer, morir, expirar.",
FALSIFICAR,"Verbo pleno Fabricar una cosa igual a otra, pero que no tiene validez, faltando a la ley.",v. tr.,"Falsificar, adulterar.",
FALSO/A,"Algo o alguien engañoso, fingido, falto de ley, de realidad o veracidad.",adj.,"Falso, adulterado, ficticio.","Auténtico, verdadero, cierto."
FALTAR,Verbo pleno No haber algo que debiera existir.,v. intr.,"Faltar, carecer.","Abundar, sobrar."
FAMA,Nivel alto de conocimiento que se tiene de alguien o algo por sus características singulares.,sust. f.,"Fama, renombre.",
FAMILIA-EXTENSA,"Conjunto de ascendientes, descendientes, colaterales, y afines de una familia.",sust. f.,"Familia, parientes.",
FAMILIA-NUCLEAR,Grupo de personas emparentadas entre sí que viven juntas.,sust. f.,Familia.,
FAMOSO/A,Persona excelente y muy renombrada en su profesión o arte.,adj.,"Famoso, célebre, ilustre, popular.",Ignorado.
FANÁTICO/A,"Que defiende con mucha pasión creencias u opiniones ya sean religiosas, políticas, deportivas, etc.",adj.,"Fanático, apasionado, hincha.",
FANTASÍA,Reproducción por medio de imágenes de cosas que son imaginadas o creadas por la ilusión de los sentidos.,sust. f.,"Fantasía, sueño, quimera.",
FARELLONES,"Centro de deportes invernales, cercano a Santiago, en la cordillera de Los Andes.",sust. p.,Farellones.,
FARMACIA,Lugar donde se preparan y venden medicinas.,sust. f.,"Farmacia, botica.",
FARO,"Torre alta en las costas, con luz en su parte superior, para que en la noche sirva de señal a los navegantes.",sust. m.,"Faro, foco, luz.",
FASCINAR,Verbo pleno Atraer irresistiblemente.,v. intr.,"Fascinar, encantar, embelesar, cautivar.",
FAVOR,Ayuda o beneficio que se presta a alguien.,sust. m.,"Favor, ayuda.",
FAVORITO/A,Estimado y apreciado con preferencia.,adj.,"Favorito, preferido, predilecto.",
FE,Conjunto de creencias de alguien o de un grupo de personas.,sust. f.,"Fe, creencia.",
FEBRERO,Segundo mes del año que en los años comunes tiene veintiocho días y en los bisiestos veintinueve.,sust. m.,Febrero.,
FECUNDAR,"Verbo pleno Unirse un elemento reproductor masculino al femenino, para dar origen a un nuevo ser.",v. tr.,"Fecundar, fertilizar.",
FECHA,"Indicación del número del día, en el mes y año correspondiente.",sust. f.,"Fecha, día, data, momento.",
FELICIDAD,"Estado del ánimo en que se experimenta o siente satisfacción, gusto, contento.",sust. f.,"Felicidad, gozo, júbilo, dicha.","Tristeza, desgracia, infelicidad, pena, desencanto."
FELICITAR,Verbo de concordancia Manifestar a una persona satisfacción por un suceso grato para ella.,v. tr.,"Felicitar, congratular, elogiar, aprobar.","Maldecir, desaprobar, insultar."
FELIZ,Que tiene felicidad.,adj.,"Feliz, dichoso, afortunado.","Infeliz, triste, desgraciado."
FEMENINO/A,Propio de mujeres o relativo a ellas.,adj.,Femenino.,Masculino.
FEO/A,"Que carece de belleza y hermosura. // 2. Conductas inadecuadas, no correctas.",adj.,"Feo, repulsivo, horrible, grosero, mal educado, mala conducta.","Bello, hermoso, lindo, precioso, delicado, educado."
FERIA,Lugar público donde se exhibe o vende productos determinados.,sust. f.,"Feria, exposición, exhibición, mercado.",
FERIADO,Día festivo en el que se celebra algún acontecimiento importante y durante el cual generalmente se suspenden las actividades laborales.,sust. m.,"Feriado, día festivo.",
FERROCARRIL,Serie de vagones arrastrados por una locomotora.,sust. m.,"Ferrocarril, tren, convoy.",
FESTIVAL,Fiesta especialmente musical o conjunto de representaciones dedicadas a un artista o a un arte.,sust. m.,"Festival, concierto, gala, espectáculo.",
FIAMBRE,"Carne, especialmente de cerdo, salada, que después de asada o cocida se come fría.",sust. m.,"Fiambre, embutido, cecina. Cumplimiento hacia otro",
FIDEOS,"Pasta de harina de trigo que se amasa dándoles distintas formas, para guisar en sopas o con salsas variadas.",sust. m.,"Fideos, tallarines, corbatitas, cabellos de ángel, caracoles, espaguetis, etc.",
FIEBRE,Fenómeno patológico que se manifiesta por la elevación de la temperatura normal del cuerpo y mayor frecuencia del pulso y la respiración.,sust. f.,"Fiebre, calentura, hipertermia.",
FIEL,"Persona que es constante en sus afectos, en el cumplimiento de sus obligaciones y conserva la confianza que se le tiene.",adj.,"Fiel, devoto, leal, sincero.","Infiel, desleal."
FIERRO,Metal de color gris muy usado en la industria.,sust. m.,"Fierro, hierro.",
FIESTA,Reunión de gente para celebrar algún suceso o simplemente para divertirse.,sust. f.,"Fiesta, festividad, celebración, conmemoración.",
FILA,Serie de personas o cosas colocadas en línea.,sust. f.,"Fila, hilera, columna, cola.",
FILIPINAS,País formado por un archipiélago. Se ubica en el sudeste de Asia. Su capital es Manila.,sust. p.,Filipinas.,
